id,name,description,icon,createdAt,updatedAt
cme2xdn760000wa0k3c7cftrk,"Sublimation Flags","High-quality custom sublimation flags","🏁",2025-08-08 18:11:25.154,2025-08-08 18:11:25.154
cme2xdn8z0001wa0kuptkbfxq,"Home & Living","Pillows, cushions, and home decor items","🏠",2025-08-08 18:11:25.154,2025-08-08 18:11:25.154
cme2xdnb20002wa0kpzxtzpif,Keychains,"Custom keychains for all occasions","🔑",2025-08-08 18:11:25.154,2025-08-08 18:11:25.154
cme2xdncx0003wa0kptj9kstb,"School Bags","Personalized school bags with sublimation","🎒",2025-08-08 18:11:25.154,2025-08-08 18:11:25.154
cme2xdney0004wa0krxcmhhhp,Mugs,"Custom sublimation mugs","☕",2025-08-08 18:11:25.154,2025-08-08 18:11:25.154
cme2xdnh60005wa0kk7vjxr8j,"Safety Jackets","High-quality safety jackets","🦺",2025-08-08 18:11:25.154,2025-08-08 18:11:25.154
cme2xdnj30006wa0kx6ar88pl,Clothing,"Custom sublimation shirts","👕",2025-08-08 18:11:25.154,2025-08-08 18:11:25.154
cme2xdnky0007wa0kregm0xqo,"Customized Phone Covers","Personalized phone covers with custom designs","📱",2025-08-08 18:11:25.154,2025-08-08 18:11:25.154
